time,open,high,low,close,count,avg,upArrow2,dnArrow2,upArrow2r,dnArrow2r
2024-07-17 13:52:00,1.7,1.7,1.66,1.67,0.0,0.0,False,True,False,True
2024-07-17 13:56:00,1.6,1.7,1.6,1.69,0.0,0.0,True,False,True,False
2024-07-17 13:59:00,1.59,1.6,1.58,1.59,0.0,0.0,False,True,False,True
2024-07-17 14:01:00,1.65,1.65,1.6,1.63,0.0,0.0,True,False,True,False
2024-07-17 14:04:00,1.58,1.67,1.58,1.67,0.0,0.0,True,False,True,False
2024-07-17 14:09:00,1.62,1.68,1.62,1.68,0.0,0.0,True,False,True,False
2024-07-17 14:11:00,1.62,1.68,1.62,1.68,0.0,0.0,True,False,True,False
2024-07-17 14:15:00,1.62,1.63,1.59,1.59,0.0,0.0,False,True,False,True
2024-07-17 14:18:00,1.7,1.72,1.69,1.71,0.0,0.0,True,False,True,False
2024-07-17 14:27:00,1.78,1.78,1.68,1.71,0.0,0.0,False,True,False,True
2024-07-17 14:30:00,1.72,1.77,1.7,1.76,0.0,0.0,True,False,True,False
2024-07-17 14:32:00,1.8,1.9,1.78,1.87,0.0,0.0,True,False,True,False
2024-07-17 14:35:00,1.72,1.72,1.69,1.7,0.0,0.0,False,True,False,True
2024-07-17 14:38:00,1.78,1.83,1.75,1.76,0.0,0.0,True,False,True,False
2024-07-17 14:40:00,1.74,1.74,1.65,1.66,0.0,0.0,False,True,False,True
2024-07-17 14:43:00,1.67,1.68,1.64,1.65,0.0,0.0,False,True,False,True
2024-07-17 14:45:00,1.62,1.62,1.58,1.6,0.0,0.0,False,True,False,True
2024-07-17 14:47:00,1.65,1.7,1.63,1.69,0.0,0.0,True,False,True,False
2024-07-17 14:49:00,1.63,1.63,1.59,1.59,0.0,0.0,False,True,False,True
2024-07-17 14:54:00,1.58,1.6,1.52,1.53,0.0,0.0,False,True,False,True
2024-07-17 14:57:00,1.57,1.63,1.57,1.63,0.0,0.0,True,False,True,False
2024-07-17 15:00:00,1.63,1.65,1.62,1.65,0.0,0.0,True,False,True,False
2024-07-17 15:04:00,1.63,1.69,1.63,1.68,0.0,0.0,True,False,True,False
2024-07-17 15:08:00,1.75,1.77,1.72,1.74,0.0,0.0,True,False,True,False
2024-07-17 15:11:00,1.76,1.85,1.76,1.84,0.0,0.0,True,False,True,False
2024-07-17 15:22:00,1.73,1.85,1.73,1.8,0.0,0.0,True,False,True,False
2024-07-17 15:25:00,1.85,1.9,1.85,1.9,0.0,0.0,True,False,True,False
2024-07-17 15:29:00,1.92,1.99,1.92,1.97,0.0,0.0,True,False,True,False
2024-07-17 15:31:00,2.0,2.05,1.96,2.04,0.0,0.0,True,False,True,False
2024-07-17 15:39:00,1.9,1.98,1.89,1.97,0.0,0.0,True,False,True,False
2024-07-17 15:44:00,1.9,1.95,1.85,1.86,0.0,0.0,False,True,False,True
2024-07-17 15:47:00,1.89,1.98,1.89,1.96,0.0,0.0,True,False,True,False
2024-07-17 15:49:00,1.9,1.97,1.88,1.97,0.0,0.0,True,False,True,False
2024-07-17 15:54:00,1.94,1.98,1.89,1.9,0.0,0.0,False,True,False,True
