time,open,high,low,close,Volume,count,avg,upArrow2,dnArrow2,upArrow2r,dnArrow2r
2023-10-06 11:30:00,360.19,361.52,360.17,361.51,166617,10,3.618971079360138,True,False,True,False
2023-10-09 13:55:00,366.19,366.61,366.13,366.59,109623,6,4.908318739208449,True,False,True,False
2023-10-11 15:55:00,371.03,371.38,370.97,371.2,248861,8,6.684696797442929,True,False,True,False
2023-10-13 11:20:00,366.8,366.91,365.97,366.01,113589,-6,-2.9163350754103554,False,True,False,True
2023-10-17 09:50:00,364.475,364.57,363.67,363.95,192845,-6,-3.5977560374187707,False,True,False,True
2023-10-18 14:50:00,364.05,364.1,363.61,363.78,128743,-4,-0.3885227585725204,False,True,False,True
2023-10-20 09:30:00,359.46,359.49,358.21,358.45,235184,-10,-5.311771877607183,False,True,False,True
2023-10-23 09:40:00,351.89,351.91,351.11,351.32,344034,-6,-4.460756313816756,False,True,False,True
2023-10-25 09:35:00,355.03,355.04,354.31,354.75,516009,-6,2.2151546026156135,False,True,False,True
2023-10-26 09:35:00,349.29,349.76,347.88,347.93,251708,-6,-3.3479574582815266,False,True,False,True
2023-10-30 09:30:00,347.83,348.6,347.11,348.58,266097,4,-1.7974868124574215,True,False,True,False
2023-11-01 09:30:00,351.71,352.36,351.62,352.22,219247,8,3.684274692763398,True,False,True,False
2023-11-02 09:30:00,361.54,361.96,361.14,361.34,309756,10,5.9613746951708855,True,False,True,False
2023-11-03 12:05:00,366.88,367.21,366.87,367.18,35316,4,4.362659117532664,True,False,False,False
2023-11-07 10:25:00,371.3,371.92,371.26,371.8,212082,6,5.121250595782354,True,False,True,False
2023-11-09 14:40:00,370.92,370.95,370.2,370.39,128087,-6,-4.856504947772015,False,True,False,True
2023-11-10 15:25:00,378.005,378.26,377.93,378.21,80193,6,3.9555753724363765,True,False,True,False
2023-11-14 09:30:00,383.7,384.24,383.18,383.91,1000399,4,-2.818031569322186,True,False,True,False
2023-11-17 14:05:00,386.74,387.05,386.65,387.05,107010,10,5.0663364609637584,True,False,True,False
2023-11-22 09:30:00,390.57,392.44,390.57,392.21,393085,6,2.5924613850351186,True,False,True,False
2023-11-29 09:30:00,392.69,393.69,392.68,393.68,239018,6,0.3418244728191009,True,False,True,False
2023-11-30 10:45:00,387.12,387.23,386.46,386.54,100027,-6,-4.398631089448331,False,True,False,True
2023-12-04 10:15:00,385.34,385.37,384.66,384.7,238524,-4,-3.2083508026826397,False,True,False,True
2023-12-06 09:30:00,390.27,390.37,388.68,388.68,232953,8,3.565511269976647,True,False,True,False
2023-12-08 10:05:00,390.85,391.81,390.47,391.8,164983,2,-0.5518706283591404,True,False,True,False
2023-12-11 14:05:00,395.59,395.715,395.57,395.68,28532,6,6.698512465867664,True,False,False,False
2023-12-13 09:30:00,399.62,400.48,399.56,400.46,215982,10,5.940548867931302,True,False,True,False
2023-12-15 09:35:00,404.32,405.57,404.15,405.0,295271,6,3.036399442144466,True,False,True,False
2023-12-19 10:30:00,408.44,408.68,408.42,408.6,79589,2,1.503660713350153,True,False,True,False
2023-12-20 14:55:00,406.05,406.28,404.87,404.88,291966,-6,-4.333387362938607,False,True,False,True
2023-12-26 09:30:00,409.25,409.77,409.16,409.74,177742,4,-1.2767739402555631,True,False,True,False
2023-12-29 11:05:00,409.54,409.56,408.73,409.06,149516,-8,-5.913904256509803,False,True,False,True
2024-01-02 13:55:00,402.295,402.33,401.83,402.03,127815,-8,-4.286192401001049,False,True,False,True
2024-01-04 15:50:00,396.94,397.02,396.28,396.36,312776,-6,-3.550562629198051,False,True,False,True
2024-01-08 12:05:00,402.17,402.42,402.07,402.24,86818,8,4.714055022464004,True,False,True,False
2024-01-10 10:40:00,406.67,407.24,406.65,407.18,78643,4,1.1587379052829219,True,False,True,False
2024-01-12 09:40:00,410.4,411.15,410.36,411.09,124766,6,4.03808428500672,True,False,True,False
2024-01-17 09:30:00,406.17,406.61,404.58,404.63,574530,-4,2.3881673425865495,False,True,False,True
2024-01-18 09:30:00,410.52,411.7,410.49,411.28,357752,8,3.901515358102727,True,False,True,False
